Protocol Type,syn_flag_number,syn_count,Srate,Weight,Min,Max,DHCP,psh_flag_number,HTTP,Predicted Attack Category
6.0,0.0,0.0,152520.14,141.5,54.0,54.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,16773.033,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
17.0,0.0,0.0,22236.855,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
17.0,0.0,0.0,18723.799,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
17.0,0.0,0.0,22062.533,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
1.0,0.0,0.0,0.0,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,0.97,1.97,26.223835,141.5,57.2,57.88,0.0,0.0,0.0,DDoS-SYN
1.0,0.0,0.0,0.0,141.5,42.0,42.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,18242.486,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
1.0,0.0,0.0,73.61832,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,0.88,1.64,5.8028736,141.5,54.47,56.03,0.0,0.0,0.0,Normal
1.0,0.0,0.0,4.000784,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,1.0,1.0,284.84488,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
6.0,0.0,0.0,85.03065,244.6,1494.0,1494.0,0.0,0.0,0.0,Normal
6.0,1.0,2.0,0.50556606,141.5,54.0,54.0,0.0,0.0,0.0,Normal
1.0,0.0,0.0,177.9755,141.5,42.0,42.0,0.0,0.0,0.0,Normal
1.0,0.0,0.0,1212.2266,141.5,42.0,42.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,22537.89,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,0.96,1.71,11.179552,141.5,55.88,57.2,0.0,0.0,0.0,DDoS-SYN
1.0,0.0,0.0,6.708618,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,0.0,0.0,55.47982,141.5,54.0,54.0,0.0,0.0,0.0,Normal
6.0,1.0,2.0,0.5329618,141.5,54.0,54.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,20243.607,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,0.0,0.0,0.60851145,141.5,54.0,54.0,0.0,0.0,0.0,Normal
6.0,1.0,1.0,0.0,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
6.0,0.0,0.0,342.49313,141.5,54.0,54.0,0.0,0.0,0.0,Normal
6.0,0.0,0.0,3.996268,141.5,54.0,54.0,0.0,0.0,0.0,Normal
1.0,0.0,0.0,2.998991,141.5,42.0,42.0,0.0,0.0,0.0,Normal
16.84,0.0,0.0,13232.913,141.5,50.0,52.2,0.0,0.0,0.0,DDoS-UDP
1.0,0.0,0.0,110376.42,141.5,42.0,42.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,14822.592,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,0.0,0.0,33288.13,141.5,54.0,54.0,0.0,0.0,0.0,Normal
1.0,0.0,0.0,29.208652,141.5,42.0,42.0,0.0,0.0,0.0,Normal
1.0,0.0,0.0,4.0016446,141.5,42.0,42.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,19685.467,120.94,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
17.0,0.0,0.0,21334.123,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,0.0,0.0,10.435961,141.5,54.0,54.0,0.0,0.0,0.0,Normal
6.0,0.0,0.0,65.45389,141.5,54.0,54.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,25128.498,141.5,50.0,50.0,0.0,0.0,0.0,DoS-UDP
6.11,0.38,1.97,7.238754,141.5,54.03,55.25,0.0,0.0,0.0,Normal
6.0,0.0,0.0,79.611115,141.5,54.0,54.0,0.0,0.0,0.0,Normal
6.0,1.0,2.0,0.13807571,141.5,54.0,54.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,25692.018,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
16.84,0.0,0.0,38510.684,141.5,50.0,53.0,0.0,0.0,0.0,DDoS-UDP
6.0,0.0,0.0,0.5644492,141.5,54.0,54.0,0.0,0.0,0.0,Normal
6.0,0.81,1.79,41.21062,141.5,56.4,56.4,0.0,0.0,0.0,DDoS-SYN
6.0,0.16,1.38,50.266956,141.5,61.62,75.7,0.0,0.35,0.0,Normal
6.0,0.99,1.01,220.37032,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
17.0,0.0,0.0,20859.967,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
1.0,0.0,0.0,2.669377,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,0.67,1.72,6.125809,141.5,54.8,55.44,0.0,0.0,0.0,Normal
6.0,0.0,0.0,165.73688,141.5,54.0,54.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,23760.006,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
1.0,0.0,0.0,948.3125,141.5,42.0,42.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,23985.527,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
17.0,0.0,0.0,18129.74,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
1.16,0.0,0.0,153.16714,141.5,42.0,43.8,0.0,0.0,0.0,Normal
6.0,1.0,1.03,43.80695,141.5,54.8,55.12,0.0,0.0,0.0,DDoS-SYN
17.0,0.0,0.0,24727.414,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,0.0,0.0,111.221756,141.5,54.0,54.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,32230.992,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,0.0,0.0,0.53218627,141.5,54.0,54.0,0.0,0.0,0.0,Normal
1.0,0.0,0.0,137.49968,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,0.0,0.0,94.898125,141.5,54.0,54.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,20268.928,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,1.0,1.0,75.46407,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
6.0,0.7,1.0,38.24873,141.5,55.4,55.6,0.0,0.0,0.0,DDoS-SYN
6.0,0.0,0.0,6.891717,141.5,54.0,54.0,0.0,0.0,0.0,Normal
6.0,0.0,0.0,56.76044,141.5,54.0,54.0,0.0,0.0,0.0,Normal
6.0,0.0,0.0,1.5198491,244.6,66.0,932.0,0.0,0.5,0.0,Normal
17.0,0.0,0.0,25046.957,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
1.32,0.0,0.0,173.36429,141.5,42.0,55.3,0.0,0.0,0.0,Normal
6.0,0.89,1.04,214.05962,141.5,54.8,55.25,0.0,0.0,0.0,DDoS-SYN
6.0,0.38,1.02,178.24641,141.5,55.16,112.44,0.0,0.01,0.0,DDoS-SYN
17.0,0.0,0.0,21263.686,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
17.0,0.0,0.0,14240.237,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
17.0,0.0,0.0,25940.18,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
17.0,0.0,0.0,17393.66,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
17.0,0.0,0.0,36340.137,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
1.0,0.0,0.0,2.6683772,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,0.99,1.59,35.92144,141.5,56.0,56.75,0.0,0.0,0.0,DDoS-SYN
1.0,0.0,0.0,26.963306,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,0.0,0.0,43464.29,141.5,54.0,54.0,0.0,0.0,0.0,Normal
6.0,1.0,1.0,10.747254,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
1.0,0.0,0.0,164.00359,141.5,42.0,42.0,0.0,0.0,0.0,Normal
1.0,0.0,0.0,0.0,141.5,42.0,42.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,117473.49,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,1.0,1.0,2759.2283,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
17.0,0.0,0.0,18197.13,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,0.66,1.0,37.217552,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
17.0,0.0,0.0,216637.34,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
17.0,0.0,0.0,105531.18,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
1.0,0.0,0.0,156.72922,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,0.0,0.0,0.79703337,141.5,54.0,54.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,21013.197,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,0.0,0.0,83.82937,141.5,54.0,54.0,0.0,0.0,0.0,Normal
1.0,0.0,0.0,125203.1,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,0.0,0.0,84.07954,141.5,54.0,54.0,0.0,0.0,0.0,Normal
6.0,0.14,0.15,134652.22,141.5,56.7,79.06,0.0,0.17,0.0,Normal
6.0,0.0,0.0,0.45749676,38.5,66.8,68.0,0.0,0.7,0.0,Normal
1.0,0.0,0.0,111848.11,141.5,42.0,42.0,0.0,0.0,0.0,Normal
1.0,0.0,0.0,34.53116,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,1.0,1.0,65.197784,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
1.0,0.0,0.0,1215.886,141.5,42.0,42.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,21658.81,141.5,50.0,51.53,0.0,0.0,0.0,DoS-UDP
1.0,0.0,0.0,143.87247,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,0.0,0.0,55.592773,141.5,54.0,54.0,0.0,0.0,0.0,Normal
6.11,0.0,0.0,72.51096,141.5,54.0,67.6,0.0,0.0,0.0,Normal
1.2,0.0,0.0,1.5947655,141.5,42.0,46.97,0.0,0.03,0.0,Normal
17.0,0.0,0.0,20100.441,141.5,50.0,54.9,0.0,0.0,0.0,DDoS-UDP
6.0,1.0,1.0,829.8158,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
6.0,0.0,0.0,168.25677,141.5,54.0,54.0,0.0,0.0,0.0,Normal
6.0,0.0,0.0,0.652672,141.5,54.0,54.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,13386.761,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
17.0,0.0,0.0,30227.445,141.5,50.0,50.0,0.0,0.0,0.0,DoS-UDP
17.0,0.0,0.0,21622.684,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
1.0,0.0,0.0,99864.38,141.5,42.0,42.0,0.0,0.0,0.0,Normal
1.0,0.0,0.0,141.39098,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,1.0,2.0,0.24816602,141.5,54.0,54.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,22066.082,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
17.0,0.0,0.0,30040.773,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
17.0,0.0,0.0,61409.594,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
17.0,0.0,0.0,20593.277,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
17.0,0.0,0.0,16512.258,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,1.0,1.0,107.31127,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
1.0,0.0,0.0,0.0,141.5,42.0,42.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,243633.02,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
17.0,0.0,0.0,15647.902,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.11,0.0,0.0,87.51401,141.5,54.0,61.66,0.0,0.0,0.0,Normal
1.0,0.0,0.0,0.0,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,0.0,0.0,1.2159485,244.6,66.0,111.0,0.0,0.4,0.0,Normal
17.0,0.0,0.0,18379.775,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,1.0,1.35,0.7220993,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
6.0,0.0,0.0,0.1306028,141.5,54.0,54.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,24985.361,141.5,50.0,50.0,0.0,0.0,0.0,DoS-UDP
1.0,0.0,0.0,35098.777,141.5,42.0,42.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,28038.51,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,0.98,1.02,10.272742,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
17.0,0.0,0.0,18936.145,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
17.0,0.0,0.0,20016.152,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
1.0,0.0,0.0,695.03156,141.5,42.0,42.0,0.0,0.0,0.0,Normal
1.0,0.0,0.0,2.8716524,141.5,42.0,42.0,0.0,0.0,0.0,Normal
1.0,0.0,0.0,104857.6,141.5,42.0,42.0,0.0,0.0,0.0,Normal
16.05,0.0,0.0,6261.2383,141.5,50.4,54.8,0.0,0.0,0.0,DoS-UDP
1.0,0.0,0.0,143.7571,141.5,42.0,42.0,0.0,0.0,0.0,Normal
1.16,0.0,0.0,152.12993,141.5,42.0,71.1,0.0,0.0,0.0,Normal
17.0,0.0,0.0,11877.181,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,0.87,0.9,100.57822,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
6.0,0.28,0.29,18885.422,141.5,63.6,73.5,0.0,0.16,0.0,Normal
6.0,1.0,2.0,0.5410039,141.5,54.0,54.28,0.0,0.0,0.0,Normal
1.0,0.0,0.0,0.0,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,0.0,0.0,1.055177,38.5,66.0,83.0,0.0,0.5,0.0,Normal
1.0,0.0,0.0,508.29733,141.5,42.0,42.0,0.0,0.0,0.0,Normal
1.16,0.0,0.0,254.2941,141.5,42.0,45.5,0.0,0.0,0.0,Normal
6.0,0.83,1.05,9.691388,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
17.0,0.0,0.0,15877.071,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
17.0,0.0,0.0,21506.291,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,0.0,0.0,27.509134,141.5,54.0,54.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,14850.209,141.5,50.0,107.06,0.0,0.0,0.0,DoS-UDP
6.0,0.0,0.0,670.76605,141.5,54.0,54.0,0.0,0.0,0.0,Normal
6.0,0.0,0.0,71.70731,141.5,54.0,54.0,0.0,0.0,0.0,Normal
1.0,0.0,0.0,27413.752,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,0.0,0.0,2.0337968,38.5,66.0,101.3,0.0,0.5,0.0,Normal
6.0,1.0,1.0,2.2211783,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
1.0,0.0,0.0,0.0,141.5,42.0,42.0,0.0,0.0,0.0,Normal
1.0,0.0,0.0,5.7600946,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,1.0,1.0,62601.55,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
6.0,0.29,1.75,41.145947,141.5,54.75,55.2,0.0,0.0,0.0,DDoS-SYN
6.0,0.0,2.0,5.94457,141.5,54.0,54.0,0.0,0.0,0.0,Normal
6.0,1.0,1.0,6.8459015,38.5,58.0,58.0,0.0,0.0,0.0,Recon-Scan
1.0,0.0,0.0,1653.9042,141.5,42.0,42.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,16452.818,141.5,50.0,58.7,0.0,0.0,0.0,DDoS-UDP
17.0,0.0,0.0,24836.057,141.5,50.5,60.2,0.0,0.0,0.0,DoS-UDP
17.0,0.0,0.0,19792.977,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,1.0,1.0,149.66829,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
6.0,0.12,1.4,12.916908,141.5,57.44,75.75,0.0,0.23,0.0,Normal
6.0,1.0,1.0,33.563496,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
1.0,0.0,0.0,89.52623,141.5,42.0,42.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,14978.69,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,0.0,0.0,4.4825087,141.5,54.0,54.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,17613.27,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
1.0,0.0,0.0,71089.9,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,0.0,0.0,1527.4788,141.5,54.0,54.0,0.0,0.0,0.0,Normal
1.0,0.0,0.0,3.9849808,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,0.0,0.0,1986.1904,141.5,54.0,54.0,0.0,0.0,0.0,Normal
1.0,0.0,0.0,71697.51,141.5,42.0,42.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,15366.176,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,0.0,0.0,0.8110654,141.5,54.0,54.0,0.0,0.0,0.0,Normal
6.0,0.0,0.0,74.5504,141.5,133.2,840.5,0.0,0.4,0.0,Normal
1.0,0.0,0.0,31184.416,141.5,42.0,42.0,0.0,0.0,0.0,Normal
1.0,0.0,0.0,1266.3096,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,0.0,0.0,0.67697626,141.5,54.0,54.0,0.0,0.0,0.0,Normal
6.0,0.0,0.0,630.5414,141.5,54.0,54.0,0.0,0.0,0.0,Normal
6.0,0.08,2.2,12.447078,141.5,57.06,80.6,0.0,0.17,0.0,Normal
1.0,0.0,0.0,0.0,141.5,42.0,42.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,39020.277,141.5,50.0,50.0,0.0,0.0,0.0,DoS-UDP
6.0,0.49,1.78,1.9640532,141.5,54.7,55.2,0.0,0.0,0.0,DDoS-SYN
6.0,1.0,1.0,3.3850803,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
6.0,1.0,1.0,3.345407,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
1.0,0.0,0.0,2.4017167,141.5,42.0,42.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,12136.684,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
17.0,0.0,0.0,23870.203,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
1.0,0.0,0.0,646.07306,141.5,42.0,42.0,0.0,0.0,0.0,Normal
4.4,0.0,1.36,174.82697,141.5,811.5,1131.0,0.0,0.0,0.0,Normal
6.0,0.79,1.0,37.43096,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
6.0,0.0,0.0,130.7431,141.5,54.0,54.0,0.0,0.0,0.0,Normal
1.0,0.0,0.0,91180.52,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,0.56,0.56,112.20717,141.5,54.03,54.8,0.0,0.0,0.0,DDoS-SYN
17.0,0.0,0.0,17665.592,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
1.0,0.0,0.0,31.590513,141.5,42.0,42.0,0.0,0.0,0.0,Normal
16.89,0.0,0.02,23792.6,141.5,50.0,50.66,0.0,0.0,0.0,DoS-UDP
6.0,1.0,1.9,10.067258,141.5,57.2,57.62,0.0,0.0,0.0,DDoS-SYN
17.0,0.0,0.0,21826.984,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
7.1,0.0,0.0,1.6542834,38.5,66.0,133.5,0.0,0.4,0.0,Normal
6.0,0.78,1.28,62.45127,141.5,54.0,54.53,0.0,0.0,0.0,DDoS-SYN
17.0,0.0,0.0,24260.953,141.5,50.0,50.0,0.0,0.0,0.0,DoS-UDP
17.0,0.0,0.0,18349.723,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,0.0,0.0,2.062525,38.5,54.0,54.0,0.0,0.0,0.0,Recon-Scan
17.0,0.0,0.0,27882.307,141.5,50.0,50.0,0.0,0.0,0.0,DoS-UDP
6.0,1.0,1.0,40721.4,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
1.0,0.0,0.0,1195.888,141.5,42.0,42.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,17328.62,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,0.0,0.0,55.243385,141.5,54.0,54.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,25387.453,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,0.63,1.37,49.53569,141.5,54.0,54.75,0.0,0.0,0.0,DDoS-SYN
6.11,0.0,0.0,59.287754,141.5,54.0,59.5,0.0,0.0,0.0,Normal
6.0,0.0,0.0,3636.6716,141.5,54.0,54.0,0.0,0.0,0.0,Normal
6.0,1.0,2.0,0.64563245,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
6.0,0.98,1.04,6.9509964,141.5,54.0,54.0,0.0,0.0,0.0,Normal
6.0,0.1,0.13,43615.62,141.5,59.16,80.1,0.0,0.21,0.0,Normal
17.0,0.0,0.0,15751.977,141.5,50.0,74.06,0.0,0.0,0.0,DDoS-UDP
6.0,0.0,0.0,0.7440644,141.5,54.0,54.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,17494.906,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
17.0,0.0,0.0,29177.297,141.5,50.0,50.0,0.0,0.0,0.0,DoS-UDP
1.0,0.0,0.0,159.79938,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,0.0,0.0,17332.785,141.5,54.0,77.3,0.0,0.09,0.0,Normal
17.0,0.0,0.0,25428.496,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
1.0,0.0,0.0,103.633354,141.5,42.0,42.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,15832.56,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
1.0,0.0,0.0,328.16592,141.5,42.0,42.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,20263.377,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,0.46,1.11,48.034924,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
17.0,0.0,0.0,346390.6,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
15.46,0.0,0.0,174.88924,141.5,129.2,1166.0,0.0,0.06,0.0,Normal
17.0,0.0,0.0,22332.363,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,1.0,1.0,3.6183205,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
17.0,0.0,0.0,7706.14,141.5,50.0,50.0,0.0,0.0,0.0,DoS-UDP
1.0,0.0,0.0,660.2604,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,0.42,0.64,3559.7656,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
17.0,0.0,0.0,26137.184,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
1.0,0.0,0.0,3.992613,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.11,0.48,1.78,8.047972,141.5,54.6,62.4,0.0,0.0,0.0,Normal
17.0,0.0,0.0,21427.371,141.5,50.0,135.9,0.0,0.0,0.0,DoS-UDP
1.0,0.0,0.0,151.717,141.5,42.0,42.0,0.0,0.0,0.0,Normal
1.0,0.0,0.0,162.55103,141.5,42.0,42.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,12918.271,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
17.0,0.0,0.0,23967.412,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,0.0,0.0,2.2216015,141.5,54.0,54.0,0.0,0.0,0.0,Normal
6.0,0.0,0.0,86480.49,141.5,54.0,54.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,18064.604,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,0.0,0.0,0.0,141.5,54.0,54.0,0.0,0.0,0.0,Normal
6.0,0.0,0.0,57.44042,141.5,54.0,54.0,0.0,0.0,0.0,Normal
6.0,0.0,0.0,1.2538152,38.5,66.6,104.0,0.0,0.7,0.0,Normal
16.05,0.0,0.0,30051.023,141.5,51.2,54.0,0.0,0.0,0.0,DDoS-UDP
1.16,0.0,0.0,157.45468,141.5,42.0,72.94,0.0,0.0,0.0,Normal
17.0,0.0,0.0,27837.338,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
